Type;Date;Time;From_Account;To_Account;From_Amount;From_Amount_LCY;To_Amount;To_Amount_LCY;From_Currency;To_Currency;Payment_type;Payment_Status;Labels;Notes
Transfer;2017-06-03;00:00;Trezor;CZK;2000.0;2000.0;2000.0;2000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-06-05;00:00;CZK;KB - Personal - účet;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-06-07;00:00;KB - Personal - účet;CZK;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-06-07;00:00;KB - Personal - účet;Allianz - Penzijní pripojištění;300.0;300.0;300.0;300.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-06-09;00:00;KB - Personal - účet;Trezor;10000.0;10000.0;10000.0;10000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-06-12;00:00;KB - Personal - účet;CZK;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-06-14;00:00;Trezor;CZK;2000.0;2000.0;2000.0;2000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-06-17;00:00;KB - Personal - účet;CZK;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-06-20;00:00;Trezor;CZK;2000.0;2000.0;2000.0;2000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-06-23;00:00;Trezor;CZK;2000.0;2000.0;2000.0;2000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-06-23;00:00;KB - Personal - účet;CZK;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-06-24;00:00;Trezor;CZK;2000.0;2000.0;2000.0;2000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-06-26;00:00;CZK;KB - Personal - účet;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-06-30;00:00;Trezor;CZK;2000.0;2000.0;2000.0;2000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-07-04;00:00;Trezor;CZK;2000.0;2000.0;2000.0;2000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-07-08;00:00;Trezor;CZK;2000.0;2000.0;2000.0;2000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-07-11;00:00;KB - Personal - účet;Allianz - Penzijní pripojištění;300.0;300.0;300.0;300.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-07-20;00:00;Trezor;CZK;4000.0;4000.0;4000.0;4000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-07-28;00:00;KB - Personal - účet;CZK;600.0;600.0;600.0;600.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-07-29;00:00;Trezor;CZK;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-07-31;00:00;Trezor;CZK;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-08-03;00:00;Trezor;KB - Personal - účet;2000.0;2000.0;2000.0;2000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-08-05;00:00;KB - Personal - účet;CZK;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-08-07;00:00;Stravenky;CZK;100.0;100.0;100.0;100.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-08-08;00:00;Trezor;CZK;2000.0;2000.0;2000.0;2000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-08-11;00:00;Stravenky;CZK;20.0;20.0;20.0;20.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-08-14;00:00;Stravenky;CZK;20.0;20.0;20.0;20.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-08-15;00:00;KB - Personal - účet;CZK;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-08-16;00:00;KB - Personal - účet;CZK;3000.0;3000.0;3000.0;3000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-08-21;00:00;KB - Personal - účet;CZK;1500.0;1500.0;1500.0;1500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-08-23;00:00;KB - Personal - účet;CZK;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-08-24;00:00;KB - Personal - účet;CZK;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-08-28;00:00;KB - Personal - účet;CZK;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-08-31;00:00;KB - Personal - účet;CZK;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-09-07;00:00;Trezor;CZK;15000.0;15000.0;15000.0;15000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-09-07;00:00;KB - Personal - účet;CZK;400.0;400.0;400.0;400.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-09-07;16:00;CZK;EUR;15000.0;15000.0;572.51;15000.13;CZK;EUR;Transfer;Reconciled;[];
Transfer;2017-09-15;00:00;KB - Personal - účet;Allianz - Penzijní pripojištění;300.0;300.0;300.0;300.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-09-17;00:00;KB - Personal - účet;CZK;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-09-18;00:00;KB - Personal - účet;CZK;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-09-20;00:00;KB - Personal - účet;Trezor;14000.0;14000.0;14000.0;14000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-09-20;00:00;KB - Personal - účet;CZK;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-09-27;00:00;KB - Personal - účet;CZK;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-10-05;00:00;KB - Personal - účet;CZK;5000.0;5000.0;5000.0;5000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-10-05;00:00;CZK;EUR;3900.0;3900.0;150.0;3899.95;CZK;EUR;Transfer;Reconciled;[];
Transfer;2017-10-06;00:00;KB - Personal - účet;CZK;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-10-13;00:00;KB - Personal - účet;Allianz - Penzijní pripojištění;300.0;300.0;300.0;300.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-10-14;00:00;KB - Personal - účet;CZK;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-10-14;00:00;KB - Personal - účet;CZK;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-10-16;00:00;KB - Personal - účet;CZK;2000.0;2000.0;2000.0;2000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-10-17;00:00;KB - Personal - účet;Trezor;56000.0;56000.0;56000.0;56000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-10-21;00:00;Trezor;CZK;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-10-23;00:00;KB - Personal - účet;CZK;2000.0;2000.0;2000.0;2000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-10-24;00:00;CZK;Trezor;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-10-26;00:00;KB - Personal - účet;CZK;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-10-26;00:00;CZK;HUF;1000.0;1000.0;11000.0;1000.0;CZK;HUF;Transfer;Reconciled;['2017 - Budapešť', 'Dovolena: All'];
Transfer;2017-10-28;00:00;KB - Personal - účet;HUF;1428.57;1428.57;15000.0;1428.57;CZK;HUF;Transfer;Reconciled;['2017 - Budapešť', 'Dovolena: All'];
Transfer;2017-10-30;00:00;EUR;HUF;8.0;203.36;2160.0;203.36;EUR;HUF;Transfer;Reconciled;['2017 - Budapešť', 'Dovolena: All'];
Transfer;2017-11-01;00:00;KB - Personal - účet;CZK;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-11-05;00:00;Trezor;CZK;2000.0;2000.0;2000.0;2000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-11-08;00:00;KB - Personal - účet;CZK;600.0;600.0;600.0;600.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-11-10;00:00;CZK;Trezor;12000.0;12000.0;12000.0;12000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-11-10;00:00;KB - Personal - účet;CZK;10000.0;10000.0;10000.0;10000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-11-11;00:00;KB - Personal - účet;CZK;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-11-15;00:00;KB - Personal - účet;Allianz - Penzijní pripojištění;300.0;300.0;300.0;300.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-11-16;00:00;CZK;Trezor;7000.0;7000.0;7000.0;7000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-11-17;00:00;Trezor;CZK;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-11-20;00:00;KB - Personal - účet;CZK;800.0;800.0;800.0;800.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-11-24;00:00;KB - Personal - účet;CZK;600.0;600.0;600.0;600.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-11-29;00:00;KB - Personal - účet;CZK;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-12-05;00:00;KB - Personal - účet;CZK;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-12-08;00:00;KB - Personal - účet;CZK;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-12-14;00:00;KB - Personal - účet;CZK;18000.0;18000.0;18000.0;18000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-12-15;00:00;KB - Personal - účet;CZK;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-12-15;00:00;KB - Personal - účet;Allianz - Penzijní pripojištění;300.0;300.0;300.0;300.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-12-16;00:00;KB - Personal - účet;CZK;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-12-20;00:00;KB - Personal - účet;CZK;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2017-12-22;00:00;KB - Personal - účet;CZK;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
